stop_id,stop_code,stop_name,stop_lat,stop_lon
"6202143070","6202143070","El Canelo y Esmeralda",-41.150798,-71.317970
"6202140180","6202140180","Padre Mascardi y Padre Genghini",-41.150717,-71.291415
"620214520","620214520","Acceso a Cerro Catedral - Viejo camino",-41.150708,-71.436190
"620214044","620214044","Padre Mascardi y Padre Genghini",-41.150698,-71.291587
"620215021","620215021","Acceso a Cerro Catedral - Viejo camino",-41.150690,-71.436007
"620210537","620210537","RP 82 Km.4.200",-41.150552,-71.408855
"620210607","620210607","RP 82 Km.4200",-41.150550,-71.408855
"6202140170","6202140170","Padre Mascardi y Rivadavia",-41.150490,-71.293602
"620214045","620214045","Padre Mascardi y Rivadavia",-41.150473,-71.293775
"620214385","620214385","Lanín y O'Higgins",-41.150425,-71.315458
